text,label
"remind me to drink water at 9","reminder"
"set a reminder for my exam tomorrow","reminder"
"remind me about the doctor appointment","reminder"
"please remind me to call mom tonight","reminder"
"set an alarm for 7am","reminder"
"remind me every two hours to stretch","reminder"
"notify me about the match at 8","reminder"
"remind me to take my medicine at night","reminder"
"can you remind me about my assignment deadline","reminder"
"set a reminder for grocery shopping","reminder"
"make sure I don’t forget my passport tomorrow","reminder"
"alert me when it’s 5 pm","reminder"
"remind me to pay electricity bill","reminder"
"remember to tell me about the dentist visit","reminder"
"ping me at 10 pm to water the plants","reminder"
"give me a notification for yoga class","reminder"
"remind me to submit my homework tonight","reminder"
"wake me up at 6 in the morning","reminder"
"remind me about the football match this evening","reminder"
"alert me to buy milk after work","reminder"
"set a notification for my friend’s birthday","reminder"
"create a reminder for dinner with Sarah","reminder"
"please set an alert for 9am meeting","reminder"
"don’t let me forget my laptop charger","reminder"
"remind me to send the email in 2 hours","reminder"

"create a task for finishing my project report","task"
"add buy groceries to my to-do list","task"
"make a new task to clean my room","task"
"add prepare slides to the task list","task"
"create task for calling the client tomorrow","task"
"add task: fix the bug in login module","task"
"put write essay in my tasks","task"
"note down: revise chapter 3 for tomorrow","task"
"assign washing the car as a task","task"
"make a list item for buying vegetables","task"
"add finish workout to my to-do list","task"
"create a new work item: study for exam","task"
"include check email in my tasks","task"
"add task: plan the birthday party","task"
"put task for preparing lunch","task"
"assign task to complete coding homework","task"
"make a note to practice guitar","task"
"add cleaning the house to my tasks","task"
"record task: prepare a report for Monday","task"
"add task: revise physics notes","task"
"create a to-do for going to the bank","task"
"please add laundry to the task list","task"
"add task to call my teacher tomorrow","task"
"put new task: research AI topics","task"
"make a work item to write a blog post","task"

"what’s the weather like today","other"
"tell me a joke","other"
"who is the president of India","other"
"play a song for me","other"
"open Google","other"
"how are you","other"
"what’s the time now","other"
"translate hello to French","other"
"give me today’s news","other"
"who invented the computer","other"
"tell me something interesting","other"
"search for pizza recipes","other"
"what is 2 plus 2","other"
"who won the cricket match yesterday","other"
"open my browser","other"
"play some music","other"
"how’s the traffic now","other"
"do you know any fun facts","other"
"recommend me a movie","other"
"define artificial intelligence","other"
"who wrote Harry Potter","other"
"can you tell me my location","other"
"what’s trending on Twitter","other"
"what does DNA stand for","other"
"tell me about space exploration","other"

text,label
"set a reminder for 5 pm meeting",reminder
"remind me to drink water at 8",reminder
"wake me up at 7 am",reminder
"add reminder tomorrow 10am doctor",reminder
"schedule a reminder for mom's birthday",reminder
"can you ping me at 6?",reminder
"alert me about groceries tonight",reminder
"set alarm for morning jog",reminder
"remind me in 2 hours",reminder
"remember my appointment at 4",reminder
"make sure I don’t forget lunch at 1",reminder
"notify me when it's 9 o’clock",reminder
"put a reminder for homework deadline",reminder
"set reminder to call dad",reminder
"send me alert for bill payment",reminder
"remind me every day at 6 am",reminder
